ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
9.9,60 m²,1 + 1,31 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.590.000
TL"
9.10,85 m²,2 + 1,33 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.100.000
TL"
9.11,100 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","2.950.000
TL"
9.12,75 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.500.000
TL"
9.13,125 m²,3 + 1,23 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.600.000
TL"
9.14,246 m²,3 + 1,31 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","20.000.000
TL"
9.15,135 m²,3 + 1,33 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.800.000
TL"
9.16,128 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.500.000
TL"
9.17,130 m²,3 + 1,32 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.950.000
TL"
9.18,135 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.600.000
TL"
9.19,80 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.850.000
TL"
9.20,115 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.150.000
TL"
9.21,55 m²,1 + 1,2 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.000.000
TL"
9.22,100 m²,3 + 1,25 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","5.900.000
TL"
9.23,130 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.650.000
TL"
9.24,101 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.150.000
TL"
10.1,110 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.950.000
TL"
10.2,110 m²,2 + 1,Sıfır Bina,İzmir,"Balçova, Eğitim Mahallesi","4.500.000
TL"
10.3,65 m²,1 + 1,25 Yaşında,İzmir,"Balçova, Onur Mahallesi","1.650.000
TL"
10.4,100 m²,2 + 1,4 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.250.000
TL"
10.5,130 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.500.000
TL"
10.6,100 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","5.500.000
TL"
10.7,320 m²,5 + 2,28 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.000.000
TL"
10.8,88 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.800.000
TL"
10.9,120 m²,3 + 1,Sıfır Bina,İzmir,"Balçova, Onur Mahallesi","6.250.000
TL"
